,occurrence_no,genus,Locality,county_original,state,cc
62,286240,Kashmirosaurus,Kashmir,,Kashmir,IN
63,287720,Nannospondylus,Blaine,Blaine,Oklahoma,US
64,287732,Fayella,Blaine,Blaine,Oklahoma,US
65,287732,Fayella,Blaine,Blaine,Oklahoma,US
66,294219,Eryops,Sandoval,Sandoval,New Mexico,US
67,295886,Eryops,Archer,Archer,Texas,US
68,295887,Eryops,Archer,Archer,Texas,US
69,295891,Eryops,Archer,Archer,Texas,US
70,295893,Eryops,Archer,Archer,Texas,US
71,295894,Zatrachys,Archer,Archer,Texas,US
72,295897,Eryops,Archer,Archer,Texas,US
73,295901,Eryops,Archer,Archer,Texas,US
74,295906,Eryops,Archer,Archer,Texas,US
75,295907,Trimerorhachis,Archer,Archer,Texas,US
76,295911,Eryops,Archer,Archer,Texas,US
77,295915,Eryops,Wichita,Wichita,Texas,US
78,295916,Trimerorhachis,Wichita,Wichita,Texas,US
79,295917,Parioxys,Wichita,Wichita,Texas,US
80,295931,Eryops,Archer,Archer,Texas,US
81,295932,Trimerorhachis,Archer,Archer,Texas,US
82,295938,Eryops,Archer,Archer,Texas,US
83,295939,Trimerorhachis,Archer,Archer,Texas,US
84,295942,Eryops,Baylor,Baylor,Texas,US
85,295943,Aspidosaurus,Baylor,Baylor,Texas,US
86,295944,Trimerorhachis,Baylor,Baylor,Texas,US
87,295947,Eryops,Baylor,Baylor,Texas,US
88,295949,Eryops,Baylor,Baylor,Texas,US
89,295950,Trimerorhachis,Baylor,Baylor,Texas,US
90,295957,Tersomius,Baylor,Baylor,Texas,US
91,295959,Eryops,Archer,Archer,Texas,US
92,295960,Zatrachys,Archer,Archer,Texas,US
93,295961,Trimerorhachis,Archer,Archer,Texas,US
94,295964,Eryops,Archer,Archer,Texas,US
95,295965,Aspidosaurus,Archer,Archer,Texas,US
96,295966,Trimerorhachis,Archer,Archer,Texas,US
97,295969,Eryops,Archer,Archer,Texas,US
98,295970,Trimerorhachis,Archer,Archer,Texas,US
99,295974,Eryops,Baylor,Baylor,Texas,US
100,295979,Eryops,Wichita,Wichita,Texas,US
101,295987,Eryops,Baylor,Baylor,Texas,US
102,295988,Trimerorhachis,Baylor,Baylor,Texas,US
103,295993,Broiliellus,Baylor,Baylor,Texas,US
104,295995,Eryops,Baylor,Baylor,Texas,US
105,295996,Broiliellus,Baylor,Baylor,Texas,US
106,295997,Trimerorhachis,Baylor,Baylor,Texas,US
107,296006,Eryops,Baylor/Wilbarger,Baylor/Wilbarger,Texas,US
108,296007,Trimerorhachis,Baylor/Wilbarger,Baylor/Wilbarger,Texas,US
109,296011,Eryops,Baylor,Baylor,Texas,US
110,296015,Eryops,Baylor,Baylor,Texas,US
111,296021,Eryops,Baylor,Baylor,Texas,US
112,296024,Eryops,Baylor/Willbarger,Baylor/Willbarger,Texas,US
113,296025,Dissorophus,Baylor/Willbarger,Baylor/Willbarger,Texas,US
114,296026,Aspidosaurus,Baylor/Willbarger,Baylor/Willbarger,Texas,US
115,296027,Dasyceps,Baylor/Willbarger,Baylor/Willbarger,Texas,US
116,296028,Trimerorhachis,Baylor/Willbarger,Baylor/Willbarger,Texas,US
117,296055,Eryops,Baylor,Baylor,Texas,US
118,296056,Cacops,Baylor,Baylor,Texas,US
119,296057,Trimerorhachis,Baylor,Baylor,Texas,US
120,296061,Isodectes,Baylor,Baylor,Texas,US
121,296071,Eryops,Baylor,Baylor,Texas,US
122,296077,Dissorophus,Baylor,Baylor,Texas,US
123,296079,Dissorophus,Baylor,Baylor,Texas,US
124,296082,Eryops,Baylor,Baylor,Texas,US
125,296086,Zatrachys,Baylor,Baylor,Texas,US
126,296087,Trimerorhachis,Baylor,Baylor,Texas,US
127,296097,Eryops,Baylor,Baylor,Texas,US
128,296101,Acheloma,Baylor,Baylor,Texas,US
129,296102,Eryops,Baylor,Baylor,Texas,US
130,296103,Dissorophus,Baylor,Baylor,Texas,US
131,296104,Trimerorhachis,Baylor,Baylor,Texas,US
132,296111,Eryops,Baylor,Baylor,Texas,US
133,296112,Trimerorhachis,Baylor,Baylor,Texas,US
134,296120,Trimerorhachis,Baylor,Baylor,Texas,US
135,296128,Zatrachys,Wilbarger,Wilbarger,Texas,US
136,296135,Eryops,Baylor,Baylor,Texas,US
137,296140,Eryops,Archer,Archer,Texas,US
138,296141,Trimerorhachis,Archer,Archer,Texas,US
139,296147,Anisodexis,Baylor/Willbarger,Baylor/Willbarger,Texas,US
140,296148,Acheloma,Baylor/Willbarger,Baylor/Willbarger,Texas,US
141,296150,Isodectes,Baylor,Baylor,Texas,US
142,296595,Zatrachys,McClain,McClain,Oklahoma,US
143,297321,Apateon,Ogliastra region,Ogliastra region,Sardinia,IT
144,297323,Apateon,Ogliastra region,Ogliastra region,Sardinia,IT
145,297325,Apateon,Ogliastra region,Ogliastra region,Sardinia,IT
146,297327,Eryops,Greene,Greene,Pennsylvania,US
147,297332,Volgosuchus,Ivanovo,,Ivanovo,RU
148,297333,Thoosuchus,Ivanovo,,Ivanovo,RU
149,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
150,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
151,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
152,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
153,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
154,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
155,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
156,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
157,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
158,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
159,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
160,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
161,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
162,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
163,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
164,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
165,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
166,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
167,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
168,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
169,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
170,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
171,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
172,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
173,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
174,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
175,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
176,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
177,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
178,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
179,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
180,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
181,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
182,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
183,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
184,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
185,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
186,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
187,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
188,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
189,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
190,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
191,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
192,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
193,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
194,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
195,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
196,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
197,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
198,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
199,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
200,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
201,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
202,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
203,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
204,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
205,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
206,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
207,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
208,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
209,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
210,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
211,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
212,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
213,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
214,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
215,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
216,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
217,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
218,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
219,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
220,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
221,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
222,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
223,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
224,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
225,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
226,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
227,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
228,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
229,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
230,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
231,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
232,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
233,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
234,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
235,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
236,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
237,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
238,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
239,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
240,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
241,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
242,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
243,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
244,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
245,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
246,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
247,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
248,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
249,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
250,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
251,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
252,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
253,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
254,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
255,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
256,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
257,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
258,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
259,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
260,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
261,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
262,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
263,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
264,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
265,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
266,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
267,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
268,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
269,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
270,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
271,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
272,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
273,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
274,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
275,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
276,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
277,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
278,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
279,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
280,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
281,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
282,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
283,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
284,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
285,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
286,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
287,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
288,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
289,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
290,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
291,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
292,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
293,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
294,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
295,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
296,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
297,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
298,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
299,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
300,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
301,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
302,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
303,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
304,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
305,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
306,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
307,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
308,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
309,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
310,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
311,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
312,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
313,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
314,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
315,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
316,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
317,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
318,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
319,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
320,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
321,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
322,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
323,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
324,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
325,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
326,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
327,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
328,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
329,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
330,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
331,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
332,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
333,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
334,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
335,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
336,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
337,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
338,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
339,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
340,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
341,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
342,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
343,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
344,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
345,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
346,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
347,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
348,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
349,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
350,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
351,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
352,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
353,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
354,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
355,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
356,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
357,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
358,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
359,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
360,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
361,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
362,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
363,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
364,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
365,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
366,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
367,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
368,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
369,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
370,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
371,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
372,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
373,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
374,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
375,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
376,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
377,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
378,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
379,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
380,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
381,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
382,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
383,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
384,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
385,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
386,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
387,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
388,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
389,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
390,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
391,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
392,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
393,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
394,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
395,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
396,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
397,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
398,297334,Benthosuchus,Nikolsk,Nikolsk,Vologda,RU
399,297335,Thoosuchus,Nikolsk,Nikolsk,Vologda,RU
400,297926,Tungussogyrinus,Amo-Tura region,Amo-Tura region,Evenk Autonomous District,RU
401,297945,Tungussogyrinus,Amo-Tura region,Amo-Tura region,Evenk Autonomous District,RU
402,297946,Tungussogyrinus,Amo-Tura region,Amo-Tura region,Evenk Autonomous District,RU
403,299698,Eryosuchus,Sol'-Iletsk,Sol'-Iletsk,Orenburg,RU
404,346290,Eryops,Archer,Archer,Texas,US
405,367864,Actinodon,Allier,Allier,,FR
406,368039,Lydekkerina,Bergville,Bergville,KwaZulu-Natal,ZA
407,368795,Hadrokkosaurus,Navajo,Navajo,Arizona,US
408,368796,Eocyclotosaurus,Navajo,Navajo,Arizona,US
409,368797,Rhadalognathus,Navajo,Navajo,Arizona,US
410,382158,Platyoposaurus,Krasnopartizan,Krasnopartizan,Orenburg,RU
411,382159,Tryphosuchus,Krasnopartizan,Krasnopartizan,Orenburg,RU
412,384336,Cacops,Baylor,Baylor,Texas,US
413,387723,Melosaurus,Sterlitamak,Sterlitamak,Bashkortostan,RU
414,388988,Dvinosaurus,Archangel'sk,,Archangel'sk,RU
415,388989,Dvinosaurus,Archangel'sk,,Archangel'sk,RU
416,388990,Dvinosaurus,Archangel'sk,,Archangel'sk,RU
417,399460,Paracyclotosaurus,New South Wales,,New South Wales,AU
418,401594,Czatkobatrachus,Krakowski,Krakowski,Malopolskie,PL
419,401598,Parotosuchus,Krakowski,Krakowski,Malopolskie,PL
420,406870,Anaschisma,Apache,Apache,Arizona,US
421,407765,Anaschisma,Apache,Apache,Arizona,US
422,407774,Anaschisma,Apache,Apache,Arizona,US
423,410770,Metoposaurus,Crosby,Crosby,Texas,US
424,410787,Metoposaurus,Crosby,Crosby,Texas,US
425,411694,Wetlugasaurus,Komi,,Komi,RU
426,411695,Angusaurus,Komi,,Komi,RU
427,411696,Vyborosaurus,Komi,,Komi,RU
428,477613,Aphaneramma,Primorye,,Primorye,RU
